genre;artist_id
talent show;5lKZWd6HiSCLfnDGrq9RAm
europop;3nlHsNqwCSvT988ZfSW1Yh
southern hip hop;6Ha4aES39QiVjR0L2lwuwq
k-pop girl group;5ORE0ElD7HiONogJZzhKrS
modern rock;3mIj9lX2MWuHmhNCA7LSCW
underground hip hop;6XpXnnKHIhCOUbOLOJGe6o
chanson;6jStlKLflTMUN6BajxrNlj
trap;3KV3p5EY4AvKxOlhGHORLg
thai idol;1UYjFeWiTTiOfDRYvUmJul
pop rock;4phGZZrJZRo4ElhRtViYdl
alternative dance;3pTE9iaJTkWns3mxpNQlJV
cantautor;1OxGzd3ks0V8CVWtXT1VMj
k-pop;2dIgFjalVxs4ThymZ67YCE
dutch hip hop;7uaikZmOtxXTNe5kPWv5t6
german hip hop;7MSwVATA5fRIxRA6Z0BmTe
oklahoma country;1UTPBmNbXNTittyMJrNkvw
indie soul;5LuLeXlnT2jFxbx7Cg7j88
grime;4q6hTJmeYXCwp0ivdtoSWA
j-punk;2zUQjYvy0TevSi4d3PjqQO
neo mellow;3BmGtnKgCSGYIUhmivXKWX
tamil hip hop;7zFBW2JxM4bgTTKxCRcS8Q
pop urbaine;5un78gf3HzGs8Kgeoflgna
finnish dance pop;3KgHd8tKiKYsazNkydQgYM
reggaeton;0GgyFUpOyzWDRDqx8FCTDN
danish pop;16EmDsIYHYtxgSNfjEYPf8
alternative r&b;0imE3buPhAowREqCrr4CYe
francoton;3b5bg1k6N9u31OtzSfK2dP
francoton;4IS4EyXNmiI2w5SRCjMtEF
pop rock;5ivCbtrcD5N4rD337xIb2z
indonesian pop;6H857CtcaYMSxOB4jvSIZf
pop;7e1ICztHM2Sc4JNLxeMXYl
czsk hip hop;2U1l35agymGrBDFeMIxVLG
basshall;1LKo6ZA3RNvKtLa6zDu32S
pop;7xEFii6utZmQ61kX59HmLH
german pop;7qXzy6c5RWT0XlVQcOBIDG
latintronica;40JMTpVRUw90SrN4pFA6Mz
pop virale italiano;13LaDWlkqsIjVkIA9Hdciy
electro house;7MFJyevu6jq0shwDuVLymu
edm;4j5KBTO4tk7up54ZirNGvK
classic swedish pop;18zO6eeR1PG505akCHt9yB
europop;14nVYgOiwVBJIEATXIDYC8
iskelma;2O6Va98fudK0E8rtu7Nm2Z
perreo;6UBb8ZUUyarsyod6snflAR
uk hip hop;6M6XXCcO5gI68XpIlrUL3Z
alternative rock;11wRdbnoYqRddKBrpHt4Ue
rai;2vHzXwfwVDsP4iKN8SezRR
spanish pop;2dJyJptNE5bMmbN6z08iNJ
reggaeton;7npqy7rgdX2D3yfVyWExKo
country;32WkQRZEVKSzVAAYqukAEA
boston hip hop;0KpCz7V5XRkqKuM1JDf56O
urban contemporary;46VWDbmWmzvPBTmkSr25gM
swedish hip hop;5Pcez7u1H2Po6e2LmMdF3f
dance pop;1ackd5XprZEkH3McKbQD51
new rave;4l1cKWYW591xnwEGxpUg3J
trap espanol;4rriNpL1lxpoysDDctWgl3
dansband;3zxcIxs8CwOEJaPYDKDtTE
swedish pop;4NHQUGzhtTLFvgF5SZesLK
opm;0YrWkiT8pKvEu71t5Yllj7
polish alternative rap;7AcwtFOXvwajNn4W02UImh
chilean rock;0WCbmGMzwvFFx0JT8k7THP
desi pop;4ITkqBlf5eoVCOFwsJCnqo
garage rock revival;4FZ3j1oH43e7cukCALsCwf
tropical;2oQX8QiMXOyuqbcZEFsZfm
pop;70kkdajctXSbqSMJbQO424
progressive house;1tBU8jUEdVR3mqSsAqEGfD
edm;6t1gpxYbY8OlLA7D2RiikQ
indonesian indie;4ucwey7FxkHXkLK7jSfevU
dominican pop;0lIw3RIPiAC50dWNjJXe2Q
dutch pop;1ImONfzw8LUXK6mxn2BDT9
turkish rock;0A5AyLcMXZRmLE7i2maS0R
filmi;0qpsFfOT3SmdGmnyV6rOhS
zhongguo feng;2elBjNSdBE2Y3f0j1mjrql
j-pop;4QvgGvpgzgyUOo8Yp8LDm9
soft rock;19ra5tSw0tWufvUp8GotLo
desi pop;4VS3XraXs2LRsowQnQ7VFh
adult standards;2y8Jo9CKhJvtfeKOsYzRdT
classic norwegian pop;2P87oRX5tCFl1PYQRbPCPD
classic danish pop;2ytaRjGwyS3veZwsmr0SPj
southern hip hop;3ciRvbBIVz9fBoPbtSYq4x
indian folk;2BbbmzjRFPhzLWrLQxvlus
classic rock;2CvCyf1gEVhI0mX6aFXmVI
funk carioca;0kjGPGtoyKwKVOZAKmv5K6
french indie pop;4eFImh8D3F15dtZk0JQlpT
new french touch;4nx8ehrFiCOmWgebUKshDV
edm;2X97ZAqRKRMYFIDqtvGgGc
hardcore hip hop;3ZotbHeyVQKxQCPDJuQ4SU
irish rock;536BYVgOnRky0xjsPT96zl
israeli pop;343YYaA5MSjiZZ5cGyTr4u
italian arena pop;0ZhqSTaEEWN6USw0E30pws
swedish pop;5CKhp4ovgbSd7PdVIza7cC
turkish trap pop;5fO16dsHVrojWL2mPzcdpq
filmi;3AMxH9QIPZbK8ND8C9j4Ss
sertanejo pop;0MInKJqZscEeNc5K3K0mkE
turkish pop;3Z7GwK4hUEczTklLsVedcx
argentine hip hop;6sPVGPkxslll1c4pdHvxYh
kiwi rock;31ACkQCBFwLQGxN8MwfSrO
swedish trap;1Mw40k757jZuiL0NIJpdO5
dutch trap pop;1eLxAzPSnsl03ajNNihddF
scandinavian r&b;59E9dYtwLTUAGuAppwFKAW
finnish pop;5ZZqIQ25HQmufjjf2trwFO
brooklyn indie;1Fr6agZ6iSM5Ynn2k4C8sc
chinese hip hop;2lbUjuMzHkT4qIECvk2f3L
trap;0VRj0yCOv2FXJNP47XQnx5
rock en espanol;6ZIgPKHzpcswB8zh7sRIhx
latin;2ayNSoKPCRAfjp6hQ76hRu
italian alternative;5FEh6KHK99CyLXp3qFvZFM
finnish pop;3Awhg0cBQF0c1arITbUUhu
peruvian rock;3Azj8v21CQ76AVvjuNv5Vg
pop argentino;6HTUcOExehqydqa7C3usAa
turkish rock;1UV3ii5FWWXF3jkZVeA2bb
house;6nS5roXSAGhTGr34W6n7Et
brill building pop;3jVMgT4X7YeuYE4aludcmE
euphoric hardstyle;3gk0OYeLFWYupGFRHqLSR7
vocal jazz;2Kx7MNY7cI1ENniW7vT30N
regional mexican pop;4J13m9IZh03PEhoxAxRhXO
baile pop;3CDoRporvSjdzTrm99a3gi
reggaeton;3E6xrwgnVfYCrCs0ePERDz
indie catala;1GRFao1QTh0i5Wx5Ms0A3I
pop rock;4AcHt3JxKy59IX7JNNlZn4
german pop;5bKy7Tu2BNmfoFnDC5mncZ
french hip hop;7fy5E9AjeDhMSbVKrOGk55
spanish pop;1HUbv0v2f9HNE6qIbB35El
alternative r&b;4IVAbR2w4JJNJDDRFP3E83
czsk hip hop;0p0V7LW8i3S22J7xErqdmt
australian hip hop;14DGJVYmuwwsdHmW8a02eM
modern bollywood;0E02VcvA5p1ndkLdqWD5JB
latin hip hop;1jSjfSgDjedJdi5MoyRu78
danish hip hop;0VUVvNFIyMeIWguwhhImIc
eurovision;5slpk6nu2IwwKx0EHe3GcL
cubaton;2cy1zPcrFcXAJTP0APWewL
italian hip hop;6FtwCmLY6L1sqvjaQ2lV6G
swedish pop;2SHhfs4BiDxGQ3oxqf0UHY
rock;77SW9BnxLY8rJ0RciFqkHh
malaysian pop;1E5aZPein8p4Jf9zkPpBsV
pop;5R3Hr2cnCCjt220Jmt2xLf
celtic punk;7w9jdhcgHNdiPeNPUoFSlx
turkish pop;3sV7ijrP5xMHgWRlOnPTCi
house;0VOGPk9LCPMxzjkiX5JdZF
dansktop;6AWEo7TFXeaDNDMMFuE2YY
iskelma;5LbUBFEG2qciScT9kwFqmV
permanent wave;0epOFNiUfyON9EYx7Tpr6V
latin rock;6IdtcAwaNVAggwd6sCKgTI
grime;5zfEatKLDdRkgbw6sdLBAQ
australian hip hop;7ymhGfvQPQLHU20RovzLMJ
canadian electropop;5qElg3REYcoPscmGLy0NmU
indie rock italiano;0lAWpj5szCSwM4rUMHYmrr
italian pop;6q8f3fxaWqkXzkbxtKOzYF
europop;7e52Ytzjj1q71DUj2cSlch
dutch hip hop;2gLZZdgHD8ZbSAB2qQkr3P
latin;4wLXwxDeWQ8mtUIRPxGiD6
taiwan pop;4rdSHzO4enUlVxdQeHPGTp
swing;602DnpaSXJB4b9DZrvxbDc
blues rock;7yGQgQiiKpg2k00JXf8hJk
